association_id,actual_value,was_acted_on
20191226152679160,38000.0,False
20191226152863870,20000.0,False
20191226152654847,31500.0,False
20191226152812933,32000.0,False
20191226152905512,20500.0,False
20191226152643793,33000.0,False
20191226152874859,42000.0,False
20191226152759110,10000.0,False
20191226152816653,9500.0,False
20191226152776607,6600.0,False
20191226152788588,14500.0,False
20191226152825212,12500.0,False
20191226152877307,76000.0,False
20191226152823413,47500.0,False
20191226152901268,31000.0,False
20191226152752989,23000.0,False
20191226152901603,92500.0,False
20191226152819228,32500.0,False
20191226152640549,19500.0,False
20191226152852256,52500.0,False
20191226152685533,18500.0,False
20191226152791413,26000.0,False
20191226152865360,14200.0,False
20191226152757119,12000.0,False
20191226152784369,18000.0,False
20191226152805308,17500.0,False
20191226152706237,23500.0,False
20191226152897919,28000.0,False
20191226152860122,37500.0,False
20191226152838150,45000.0,False
20191226152898600,14000.0,False
20191226152869938,16500.0,False
20191226152760779,11000.0,False
20191226152649088,30000.0,False
20191226152813594,36500.0,False
20191226152845877,82500.0,False
20191226152709183,10000.0,False
20191226152785888,27000.0,False
20191226152773012,12500.0,False
20191226152883623,54000.0,False
20191226152779374,27500.0,False
20191226152769834,9000.0,False
20191226152865774,9100.0,False
20191226152669917,8500.0,False
20191226152887761,24500.0,False
20191226152880952,60000.0,False
20191226152702292,41000.0,False
20191226152708132,33000.0,False
20191226152835145,30000.0,False
20191226152779011,88000.0,False
20191226152861041,13500.0,False
20191226152771064,9250.0,False
20191226152646142,20000.0,False
20191226152708139,17500.0,False
20191226152659278,51000.0,False
20191226152700467,32000.0,False
20191226152794267,26000.0,False
20191226152680116,19000.0,False
20191226152792082,16500.0,False
20191226152874914,67000.0,False
20191226152811631,21000.0,False
20191226152752399,22000.0,False
20191226152840301,22000.0,False
20191226152676312,69000.0,False
20191226152826700,21000.0,False
20191226152873786,13750.0,False
20191226152693038,11000.0,False
20191226152852124,47000.0,False
20191226152671522,60000.0,False
20191226152760144,8000.0,False
20191226152883438,34000.0,False
20191226152852486,36000.0,False
20191226152826925,13000.0,False
20191226152657123,27500.0,False
20191226152844145,19000.0,False
20191226152838451,31500.0,False
20191226152801329,10000.0,False
20191226152753352,12500.0,False
20191226152832771,15000.0,False
20191226152845965,17000.0,False
20191226152860044,110000.0,False
20191226152784341,19000.0,False
20191226152787667,23500.0,False
20191226152817399,22000.0,False
20191226152886530,39000.0,False
20191226152791690,25000.0,False
20191226152786532,20500.0,False
20191226152889586,45000.0,False
20191226152806946,67500.0,False
20191226152692704,38000.0,False
20191226152655044,32075.0,False
20191226152827591,16500.0,False
20191226152833665,39000.0,False
20191226152904311,18000.0,False
20191226152824013,67500.0,False
20191226152642591,30500.0,False
20191226152752024,15000.0,False
20191226152680812,18500.0,False
20191226152692414,10000.0,False
20191226152873697,9000.0,False
20191226152884065,80000.0,False
20191226152874672,15000.0,False
20191226152683384,39000.0,False
20191226152881118,59000.0,False
20191226152913839,26000.0,False
20191226152785219,24000.0,False
20191226152907794,34000.0,False
20191226152759253,15500.0,False
20191226152771340,17000.0,False
20191226152834148,60000.0,False
20191226152878281,34500.0,False
20191226152710637,5700.0,False
20191226152788986,26000.0,False
20191226152909252,102500.0,False
20191226152894886,25500.0,False
20191226152786616,25000.0,False
20191226152793961,34000.0,False
